,ds,yhat,yhat_lower,yhat_upper,y,cutoff
0,2020-09-02,6081489.80278921,6073519.145522817,6089208.651262241,6075652.0,2020-09-01
1,2020-09-03,6126843.312960047,6118877.03325954,6134961.457381724,6114406.0,2020-09-01
2,2020-09-04,6173747.600182496,6165666.147572245,6182556.7716311915,6150655.0,2020-09-01
3,2020-09-05,6222433.439991875,6213762.179949901,6231309.857845567,6201726.0,2020-09-01
4,2020-09-06,6273112.601317019,6265201.132691392,6282610.016111665,6245866.0,2020-09-01
5,2020-09-07,6325969.964361406,6316292.81500166,6337316.270120472,6276421.0,2020-09-01
6,2020-09-08,6381155.477324719,6369769.507769217,6392957.138782145,6300671.0,2020-09-01
7,2020-09-09,6438776.149612657,6426886.711141418,6452015.829974847,6327793.0,2020-09-01
8,2020-09-10,6498888.29143898,6484423.359492793,6513797.629653684,6359720.0,2020-09-01
9,2020-09-11,6561490.217053796,6545023.82709393,6578531.123928927,6397227.0,2020-09-01
10,2020-09-12,6626515.630843475,6607188.423433917,6646006.185050071,6445288.0,2020-09-01
11,2020-09-13,6693827.911963015,6673608.21056071,6716376.00524855,6486108.0,2020-09-01
12,2020-09-14,6763215.503826993,6741587.274093474,6787259.106073767,6519979.0,2020-09-01
13,2020-09-15,6834388.599738169,6810363.719369505,6862548.1691046385,6554820.0,2020-09-01
14,2020-09-16,6906977.295288184,6879675.975296716,6936247.201565455,6606293.0,2020-09-01
15,2020-09-17,6980531.352281142,6949659.121147542,7012567.363617808,6630891.0,2020-09-01
16,2020-09-18,7054521.688211899,7021185.285443116,7090443.011066603,6674458.0,2020-09-01
17,2020-09-19,7128343.670415656,7092505.471207625,7167945.206999566,6724667.0,2020-09-01
18,2020-09-20,7201322.25557987,7162045.632151321,7243612.023840103,6764962.0,2020-09-01
19,2020-09-21,7272718.974224097,7228856.490114497,7321297.947111109,6804814.0,2020-09-01
20,2020-09-22,7341740.716932428,7296758.913707027,7389321.033773123,6857967.0,2020-09-01
21,2020-09-23,7407550.235546328,7357285.170874365,7458767.086624694,6896274.0,2020-09-01
22,2020-09-24,7469278.229264607,7415824.3702410525,7522413.33872941,6934204.0,2020-09-01
23,2020-09-25,7526036.843686124,7469125.14672222,7583220.173932531,6978417.0,2020-09-01
24,2020-09-26,7576934.371360034,7516913.775328527,7641127.664834596,7033430.0,2020-09-01
25,2020-09-27,7621090.906383764,7556974.857103917,7689288.83736186,7078798.0,2020-09-01
26,2020-09-28,7657654.674001479,7590799.001572954,7728929.619978153,7115046.0,2020-09-01
27,2020-09-29,7685818.729874267,7615704.184152253,7762286.1451818105,7148044.0,2020-09-01
28,2020-09-30,7704837.703516519,7629257.354973421,7787181.338884028,7191061.0,2020-09-01
29,2020-10-01,7714044.246950756,7633824.821684071,7799269.810167564,7233043.0,2020-09-01
